2026-01-27_10-39-05 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2026-01-27_10-40-49 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2026-01-27_10-53-20 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2026-01-27_11-04-30 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2026-01-27_11-27-53 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2026-01-27_11-42-32 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2026-01-27_11-59-29 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2026-01-27_12-08-33 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2026-01-27_12-28-58 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2026-01-27_12-34-03 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2026-01-27_12-44-32 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 1
2026-01-27_12-45-41 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 1
2026-01-27_12-55-03 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 3
2026-01-27_13-05-18 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 2 | G2-3: 0 | G2-4: 0
2026-01-27_13-06-25 | Pieces: 3 | G2-0: 0 | G2-1: 1 | G2-2: 2 | G2-3: 0 | G2-4: 0
2026-01-27_13-07-10 | Pieces: 3 | G2-0: 0 | G2-1: 1 | G2-2: 2 | G2-3: 0 | G2-4: 0
2026-01-27_13-14-44 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2026-01-27_13-28-36 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2026-01-27_13-30-04 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 2 | G2-3: 0 | G2-4: 0
2026-01-27_13-30-47 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 2 | G2-3: 0 | G2-4: 0
2026-01-27_13-50-47 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 1
2026-01-27_13-51-28 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 1
2026-01-27_13-59-59 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 1
2026-01-27_14-30-27 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2026-01-27_14-35-04 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
