2025-11-02_04-37-06 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-04_11-37-21 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-04_11-47-11 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-04_11-57-19 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-04_11-59-32 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-04_12-02-07 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-04_12-03-34 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-04_12-04-38 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-04_12-19-56 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-04_12-22-11 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-04_13-50-36 | Pieces: 0 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-05_15-11-10 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-11-05_15-16-16 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 1
2025-11-05_15-18-26 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 1
2025-11-06_09-22-29 | Pieces: 4 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 3 | G2-4: 1
2025-11-06_09-22-44 | Pieces: 4 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 3 | G2-4: 1
2025-11-06_09-25-08 | Pieces: 6 | G2-0: 0 | G2-1: 0 | G2-2: 2 | G2-3: 3 | G2-4: 1
2025-11-06_09-26-16 | Pieces: 7 | G2-0: 0 | G2-1: 0 | G2-2: 2 | G2-3: 3 | G2-4: 2
2025-11-06_09-27-24 | Pieces: 8 | G2-0: 1 | G2-1: 0 | G2-2: 2 | G2-3: 3 | G2-4: 2
2025-11-06_09-37-06 | Pieces: 10 | G2-0: 1 | G2-1: 0 | G2-2: 2 | G2-3: 4 | G2-4: 3
2025-11-06_09-39-48 | Pieces: 12 | G2-0: 1 | G2-1: 0 | G2-2: 2 | G2-3: 5 | G2-4: 4
2025-11-06_09-40-53 | Pieces: 13 | G2-0: 1 | G2-1: 0 | G2-2: 2 | G2-3: 6 | G2-4: 4
2025-11-06_09-51-06 | Pieces: 17 | G2-0: 1 | G2-1: 0 | G2-2: 2 | G2-3: 10 | G2-4: 4
2025-11-06_09-54-38 | Pieces: 20 | G2-0: 1 | G2-1: 0 | G2-2: 4 | G2-3: 11 | G2-4: 4
2025-11-07_13-20-38 | Pieces: 3 | G2-0: 1 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2025-11-08_09-29-15 | Pieces: 1 | G2-0: 1 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-08_09-29-52 | Pieces: 1 | G2-0: 1 | G2-1: 0 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-08_09-41-14 | Pieces: 1 | G2-0: 0 | G2-1: 1 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-08_11-56-30 | Pieces: 1 | G2-0: 0 | G2-1: 1 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-08_11-57-41 | Pieces: 2 | G2-0: 0 | G2-1: 1 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-11-08_12-01-20 | Pieces: 1 | G2-0: 0 | G2-1: 1 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-08_12-02-31 | Pieces: 2 | G2-0: 0 | G2-1: 1 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-11-08_12-04-17 | Pieces: 3 | G2-0: 1 | G2-1: 1 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-11-08_12-05-48 | Pieces: 3 | G2-0: 1 | G2-1: 1 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-11-08_12-16-05 | Pieces: 1 | G2-0: 0 | G2-1: 1 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-08_12-20-20 | Pieces: 1 | G2-0: 0 | G2-1: 1 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-08_12-21-39 | Pieces: 2 | G2-0: 0 | G2-1: 2 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-11-08_12-28-22 | Pieces: 3 | G2-0: 0 | G2-1: 2 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-11-08_12-29-38 | Pieces: 3 | G2-0: 0 | G2-1: 2 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-11-08_12-30-54 | Pieces: 4 | G2-0: 0 | G2-1: 2 | G2-2: 0 | G2-3: 2 | G2-4: 0
2025-11-08_12-33-43 | Pieces: 5 | G2-0: 0 | G2-1: 2 | G2-2: 1 | G2-3: 2 | G2-4: 0
2025-11-08_12-36-49 | Pieces: 6 | G2-0: 0 | G2-1: 2 | G2-2: 1 | G2-3: 3 | G2-4: 0
2025-11-08_12-37-39 | Pieces: 6 | G2-0: 0 | G2-1: 2 | G2-2: 1 | G2-3: 3 | G2-4: 0
2025-11-10_20-34-42 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-11-10_20-35-43 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-11-10_20-39-20 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-11-10_20-40-36 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
